缩写,洲/地区,国家中文名,国家英文名,
DZA,Africa,阿尔及利亚,Algeria,
DJI,Africa,吉布提,Djibouti,
,Africa,加那利群岛,Canary Is,
GMB,Africa,冈比亚,Gambia,
GNQ,Africa,赤道几内亚,Eq.Guinea,
SDN,Africa,苏丹,Sudan,
KEN,Africa,肯尼亚,Kenya,
SGP,Asia,新加坡,Singapore,
KOR,Asia,韩国,Korea Rep.,
SYR,Asia,叙利亚,Syrian,
UZB,Asia,乌兹别克斯坦,Uzbekistan,Uzbekistan
BHR,Asia,巴林,Bahrian,
JPN,Asia,日本,Japan,
JOR,Asia,约旦,Jordan,
VNM,Asia,越南,Vietnam,
KGZ,Asia,吉尔吉斯斯坦,Kirghizia,
THA,Asia,泰国,Thailand,
LKA,Asia,斯里兰卡,Sri Lanka,
ARE,Asia,阿联酋,United Arab Emirates,
LAO,Asia,老挝,"Laos,PDR",
AFG,Asia,阿富汗,Afghanistan,
MAC,Asia,中国澳门,Macau,
TJK,Asia,塔吉克斯坦,Tadzhikistan,
PRK,Asia,朝鲜,"Korea,DPR",
PAL,Asia,巴勒斯坦,Palestine,
HKG,Asia,中国香港,Hong Kong,
IRQ,Asia,伊拉克,Iraq,
LBN,Asia,黎巴嫩,Lebanon,
KWT,Asia,科威特,Kuwait,
BRN,Asia,文莱,Brunei,
MDV,Asia,马尔代夫,Maldives,
IDN,Asia,印度尼西亚,Indonesia,
ISR,Asia,以色列,Israel,
MNG,Asia,蒙古,Mongolia,
,Asia,亚洲其他国家(地区),Oth. Asia nes,
OMN,Asia,阿曼,Oman,
IND,Asia,印度,India,
MMR,Asia,缅甸,Myanmar,
MYS,Asia,马来西亚,Malaysia,
TMP,Asia,东帝汶,East Timor,
YEM,Asia,也门共和国,Republic of Yemen,
BTN,Asia,不丹,Bhutan,
KHM,Asia,柬埔寨,Cambodia,
PAK,Asia,巴基斯坦,Pakistan,
BGD,Asia,孟加拉国,Bangladesh,
SAU,Asia,沙特阿拉伯,Saudi Arabia,
TKM,Asia,土库曼斯坦,Turkmenistan,
QAT,Asia,卡塔尔,Qatar,
NPL,Asia,尼泊尔,Nepal,
KAZ,Asia,哈萨克斯坦,Kazakhstan,
PHL,Asia,菲律宾,Philippines,
TWN,Asia,台湾,Taiwan prov.,
CHN,Asia,中国大陆,China,
IRN,Asia,伊朗,Iran,
CRI,Central America,哥斯达黎加,Costa Rica,
CUB,Central America,古巴,Cuba,
DOM,Central America,多米尼加共和国,Dominican Rep.,
MEX,Central America,墨西哥,Mexico,
NIC,Central America,尼加拉瓜,Nicaragua,
PAN,Central America,巴拿马,Panama,
ANT,Central America,荷属安地列斯群岛,the Netherlands Antilles,
SLV,Central America,萨尔瓦多,El Salvador,
BVI,Central America,英属维尔京群岛,VIRGIN IS.(U.K.),
PTR,Central America,波多黎各,Puerto Rico,
,Central America,美属维尔京群岛,VIRGIN IS.(US),
,Central America,安圭拉(英),ANGUILLA(U.K.),
,Central America,圣卢西亚,ST. LUCIA,
VAG,Central America,圣文森特和格纳丁斯,ST. VINCENT AND THE GRENADINES,
,Central America,荷属安德列斯,NETHERLANDS ANTILLES,
GLP,Central America,瓜德罗普,Guadeloupe,
HND,Central America,洪都拉斯,Honduras,
GTM,Central America,危地马拉,Guatemala,
GEO,Europe,格鲁吉亚,Georgia,
ARM,Europe,亚美尼亚,Armenia,
AZE,Europe,阿塞拜疆,Azerbaijan,
BLR,Europe,白俄罗斯,Byelorussia,
RUS,Europe,俄罗斯联邦,Russia,
UKR,Europe,乌克兰,Ukraine,
,Europe,欧洲其他国家(地区),Oth. Eur. nes,
HUN,Europe,匈牙利,Hungary,
ISL,Europe,冰岛,Iceland,
MLT,Europe,马耳他,Malta,
MCO,Europe,摩纳哥,Monaco,
NOR,Europe,挪威,Norway,
ROM,Europe,罗马尼亚,Romania,
SMR,Europe,圣马力诺,San Marino,
SWE,Europe,瑞典,Sweden,
CHE,Europe,瑞士,Switzerland,
EST,Europe,爱沙尼亚,Estonia,
LVA,Europe,拉脱维亚,Latvia,
LTU,Europe,立陶宛,Lithuania,
MDA,Europe,摩尔多瓦,Moldavia,
TUR,Europe,土耳其,Turkey,
SVN,Europe,斯洛文尼亚,Slovenia Rep,
CZE,Europe,捷克共和国,Czech Rep,
SVK,Europe,斯洛伐克,Slovak Rep,
MKD,Europe,马其顿,Macedonia Rep,
BIH,Europe,波斯尼亚-黑塞哥维那共和,Bosnia&Hercegovina,
VAT,Europe,梵蒂冈城国,Vatican City State,
NLD,Europe,荷兰,Netherlands,
HRV,Europe,克罗地亚,Croatia Rep,
GRC,Europe,希腊,Greece,
IRL,Europe,爱尔兰,Ireland,
BEL,Europe,比利时,Belgium,
CYP,Europe,塞浦路斯,Cyprus,
DNK,Europe,丹麦,Denmark,
ENG,Europe,英国,United Kingdom,
DEU,Europe,德国,Germany,
FRA,Europe,法国,France,
ITA,Europe,意大利,Italy,
LUX,Europe,卢森堡,Luxembourg,
PRT,Europe,葡萄牙,Portugal,
POL,Europe,波兰,Poland,
ESP,Europe,西班牙,Spain,
ALB,Europe,阿尔巴尼亚,Albania,
AND,Europe,安道尔,Andorra,
LIE,Europe,列支敦士登,Liechtenstein,
S&M,Europe,塞黑,Serbia & Montenegro,
AUT,Europe,奥地利,Austria,
BGR,Europe,保加利亚,Bulgaria,
FIN,Europe,芬兰,Finland,
GIB,Europe,直布罗陀,Gibraltar,
DMA,North America,多米尼克,Dominica,
BMU,North America,百慕大,Bermuda,
CAN,North America,加拿大,Canada,
USA,North America,美国,United States,
GRL,North America,格陵兰,Greenland,
,North America,北美洲其他国家(地区),Oth. N.Amer. nes,
TON,Oceania,汤加,Tonga,
AUS,Oceania,澳大利亚,Australia,
COK,Oceania,库克群岛,Cook Is,
NRU,Oceania,瑙鲁,Nauru,
NCL,Oceania,新喀里多尼亚,New Caledonia,
VUT,Oceania,瓦努阿图,Vanuatu,
SLB,Oceania,所罗门群岛,Solomon Is,
WSM,Oceania,萨摩亚,Samoa,
TUV,Oceania,图瓦卢,Tuvalu,
FSM,Oceania,密克罗尼西亚联邦,Micronesia Fs,
MHL,Oceania,马绍尔群岛,Marshall Is Rep,
KIR,Oceania,基里巴斯,Kiribati,
PYF,Oceania,法属玻利尼西亚,French Polynesia,
NZL,Oceania,新西兰,New Zealand,
FJI,Oceania,斐济,Fiji,
PNG,Oceania,巴布亚新几内亚,Papua New Guinea,
PLW,Oceania,帕劳共和国,Palau,
,Oceania,土阿莫土群岛,Tuamotu Is,
,Oceania,土布艾群岛,Tubai Is,
,Oceania,社会群岛,Society Is,
,Oceania,马克萨斯群岛,Marquesas Is,
WLF,Oceania,瓦利斯和浮图纳,Wallis and Futuna,
,Oceania,盖比群岛,Gambier Is,
,Oceania,诺福克岛,Norfolk Is,
,Oceania,大洋洲其他国家(地区),Oth. Ocean. nes,
CHL,South America,智利,Chile,
COL,South America,哥伦比亚,Colombia,
GUF,South America,法属圭亚那,French Guyana,
GUY,South America,圭亚那,Guyana,
,South America,库腊索岛,Curacao,
PRY,South America,巴拉圭,Paraguay,
PER,South America,秘鲁,Peru,
SUR,South America,苏里南,Suriname,
VEN,South America,委内瑞拉,Venezuela,
URY,South America,乌拉圭,Uruguay,
ECU,South America,厄瓜多尔,Ecuador,
ATG,South America,安提瓜和巴布达,Antigua & Barbuda,
ABW,South America,阿鲁巴岛,Aruba,
BHS,South America,巴哈马,Bahamas,
BRB,South America,巴巴多斯,Barbados,
CYM,South America,开曼群岛,Cayman Is,
GRD,South America,格林纳达,Grenada,
,South America,萨巴,Saba,
HTI,South America,海地,Haiti,
JAM,South America,牙买加,Jamaica,
MTQ,South America,马提尼克,Martinique,
MSR,South America,蒙特塞拉特,Montserrat,
VCT,South America,圣文森特和格林纳丁斯,Saint Vincent & Grenadines,
TTO,South America,特立尼达和多巴哥,Trinidad & Tobago,
TCA,South America,特克斯和凯科斯群岛,Turks & Caicos Is,
VGB,South America,英属维尔京群岛,Br. Virgin Is,
KNA,South America,圣其茨-尼维斯,St. Kitts-Nevis,
,South America,圣马丁岛,Saint Martin Is,
,South America,南美洲其他国家(地区),Oth. L.Amer. nes,
SPM,South America,圣皮埃尔和密克隆,St.Pierre and Miquelon,
ARG,South America,阿根廷,Argentina,
BLZ,South America,伯利兹,Belize,
BOL,South America,玻利维亚,Bolivia,
BRA,South America,巴西,Brazil,
,South America,博内尔,Bonaire,
LCA,South America,圣卢西亚,Saint Lucia,
,,俄罗斯,Russian Federation,
,,巴林,Bahrain,
