abbr,continent,country
DEU,Europe,Germany
FRA,Europe,France
ITA,Europe,Italy
LUX,Europe,Luxembourg
PRT,Europe,Portugal
POL,Europe,Poland
ESP,Europe,Spain
ALB,Europe,Albania
AND,Europe,Andorra
LIE,Europe,Liechtenstein
S&M,Europe,Montenegro
S&M,Europe,Serbia
AUT,Europe,Austria
BGR,Europe,Bulgaria
FIN,Europe,Finland
GIB,Europe,Gibraltar
DMA,North America,Dominica
BMU,North America,Bermuda
CAN,North America,Canada
USA,USA,US
USA,USA,U.S.A
USA,USA,USA
USA,USA,United States
GRL,North America,Greenland
TON,Oceania,Tonga
AUS,Oceania,Australia
COK,Oceania,Cook
NRU,Oceania,Nauru
NCL,Oceania,New Caledonia
VUT,Oceania,Vanuatu
SLB,Oceania,Solomon
WSM,Oceania,Samoa
TUV,Oceania,Tuvalu
FSM,Oceania,Micronesia
MHL,Oceania,Marshall
KIR,Oceania,Kiribati
PYF,Oceania,French Polynesia
NZL,Oceania,New Zealand
FJI,Oceania,Fiji
PNG,Oceania,Papua New Guinea
PLW,Oceania,Palau
,Oceania,Tuamotu
,Oceania,Tubai
,Oceania,Society
,Oceania,Marquesas
,Oceania,Gambier
,Oceania,Norfolk Is
CHL,South America,Chile
COL,South America,Colombia
GUF,South America,French Guyana
GUY,South America,Guyana
,South America,Curacao
PRY,South America,Paraguay
PER,South America,Peru
SUR,South America,Suriname
VEN,South America,Venezuela
URY,South America,Uruguay
ECU,South America,Ecuador
ATG,South America,Antigua and Barbuda
ABW,South America,Aruba
BHS,South America,Bahamas
BRB,South America,Barbados
CYM,South America,Cayman
GRD,South America,Grenada
,South America,Saba
HTI,South America,Haiti
JAM,South America,Jamaica
MTQ,South America,Martinique
MSR,South America,Montserrat
VCT,South America,Saint Vincent and Grenadines
TTO,South America,Trinidad and Tobago
TCA,South America,Turks and Caicos
VGB,South America,Br. Virgin
KNA,South America,Kitts-Nevis
,South America,Saint Martin
SPM,South America,Pierre and Miquelon
ARG,South America,Argentina
BLZ,South America,Belize
BOL,South America,Bolivia
BRA,South America,Brazil
,South America,Bonaire
LCA,South America,Saint Lucia
